gif_name	question	a1	a2	a3	a4	a5	answer	vid_id	key
tumblr_ndtq54YIEC1r54zrpo1_400	What does the woman do 2 times ?	flap wings	move shoulder	twirl hair	nod head	step	2	ACTION13384	56187
tumblr_ncyjsnTzTm1tty0voo1_400	What does the puppy do 3 times ?	flip hair	swing sword	shake hair	hop	step forward over ground	3	ACTION13385	56199
tumblr_ni4z58sPzh1rurq41o1_540	What does the man do 2 times ?	drum	step back	caress woman's face	kick legs out	get sucked by vacumm	0	ACTION13386	56200
tumblr_nb5kudJhu51tky9sjo1_400	What does the woman do 2 times ?	point finger	jump body	sit up	turn head	shake tongue	2	ACTION13387	56204
tumblr_nocxkoNOlp1u4h0xqo1_540	What does the person who wear a red clothe do 2 times ?	flap arms	hit puck	swat bed sheet	swipe phone	take steps	1	ACTION13388	56205
tumblr_nm02o7Lrw61rwdhfbo1_540	What does the woman do 3 times ?	spin	jump	clap	shake head	move feet	3	ACTION13389	56208
tumblr_nh1j274J1n1s03nc9o1_1280	What does the man do 4 times ?	spin	jump	clap	shake hand	take steps	3	ACTION13390	56214
tumblr_njufrnTcGt1rg2umvo1_540	What does the woman do 8 times ?	bounce	move feet	paw toothbrush	step	open a man's shirt	1	ACTION13391	56215
tumblr_niqrx1iuhA1t1ijxmo1_540	What does the singer do 4 times ?	flick tail	swing body	wave a pointed hand	flip	bounce	2	ACTION13392	56217
tumblr_nk5931FBuH1qz90gto1_540	What does the woman do 3 times ?	jump	shake finger	point finger	bounce body	kick	3	ACTION13393	56219
tumblr_njqfd33pEV1u4oebbo1_540	What does the first woman do 2 times ?	raise eyebrows	jump	step	balance bike	shimmy body	0	ACTION13394	56220
tumblr_npudh7QiQa1shpskno1_540	What does the man do 2 times ?	kiss toys	blow a kiss	twirl weapon	bob head	scream	1	ACTION13395	56224
tumblr_n9lx1ks8Mf1r48afbo1_400	What does the man do 3 times ?	jump	raise arms	step	puff cigarette	pat makeup brush	1	ACTION13396	56230
tumblr_na9h8s3ErP1s4mf80o1_400	What does the car do 2 times ?	spin	shake shoulders	twist cap	thrust arms	wave hand with cigarette	0	ACTION13397	56236
tumblr_nkp0gllK8y1rv14lho1_400	What does the woman do 2 times ?	jump	shake head	take steps	strum guitar	clap	1	ACTION13398	56239
tumblr_nnjxp9LRZV1qfsvzuo1_540	What does the man on center do 6 times ?	take steps	nod head	step	knod head	strum guitar	4	ACTION13399	56242
tumblr_nb31x2tpPB1sgd45ro1_400	What does the animal do 10 or more than 10 times ?	spin	bounce	jump	shake nose	clap	3	ACTION13400	56243
tumblr_nnorz7aLGE1trtwh4o1_540	What does the model do 5 times ?	cross hands	stretch arms	step	walk down runway	trip	3	ACTION13401	56268
tumblr_nmzwhiijmW1rsvh5zo1_540	What does the guy do 4 times ?	stomp feet	move shoulder	sob	nod head	turn head	0	ACTION13402	56269
tumblr_ng2kw3KIDS1reubyfo1_1280	What does the woman do 5 times ?	knead dog	fling hair	shake butt	paw bird	twist hands	4	ACTION13403	56272
tumblr_nlzfvpfRwr1urqw8qo1_540	What does the does 2 times ?	touch other man's shoulder	step	throw arms up	turn dial	spin	3	ACTION13404	56274
tumblr_nhifzo5ZrB1rhn3ixo4_1280	What does the woman do 3 times ?	pat man	pull handles	take steps	thrust pelvis	strum guitar	0	ACTION13405	56275
tumblr_njvml4zW5x1r6sioko1_540	What does the person in red sweater do 2 times ?	bob head	bite fingernails	shake head	scratch record	lick	1	ACTION13406	56278
tumblr_nppqorovQY1urqw8qo1_540	What does the woman in middle in all black do 2 times ?	dance	shake fingers	move hands	thrust arms	swing hips	4	ACTION13407	56281
tumblr_npjpaluLZE1ux046yo1_400	What does the woman do 2 times ?	wave aerosol can	swing elbows	flip	bounce	spin	0	ACTION13408	56290
tumblr_njujpg2D7V1rg2umvo1_540	What does the girl do 7 times ?	throw balls	turn page of a book	scoot	step	move legs	1	ACTION13409	56293
tumblr_njvknx6jhV1sho2p1o1_400	What does the lady do 2 times ?	kiss	grin	shake shoulder	bounce	caress man's face with a thumb	2	ACTION13410	56304
tumblr_noi93z4P2l1uvm2lmo1_540	What does the man on right do 2 times ?	twist	jump	shake hand	punch a man	beat drums	3	ACTION13411	56309
tumblr_nq2mwycIZt1uvqfpho1_540	What does the person outside of the video do 3 times ?	bob head	swing body	flip	spin	wave hand	4	ACTION13412	56327
tumblr_nnlkreFFiR1rii1hdo1_540	What does the man with hat do 2 times ?	touch a ball	blink	shake fingers	kiss	nod head	4	ACTION13413	56340
tumblr_npnf9zx1Xo1tumc22o1_540	What does the man do 2 times ?	bob microphone	twirl body	take steps	nod head	gallop	0	ACTION13414	56342
tumblr_nho36xy72u1sfxtxno1_1280	What does the man do 2 times ?	shake fingers	chew gum	slap hands	lick	jiggle stomach	1	ACTION13415	56346
tumblr_nldkkxQGEs1spb147o1_540	What does the woman on the right do 2 times ?	puff cigarette	waggle fingers	tilt head	take steps	shuffle feet	2	ACTION13416	56357
tumblr_nq0277Bqy51upyvwfo1_540	What does the person do 4 times ?	point finger	pluck guitar strings	shake hand	bounce	kick boy	3	ACTION13417	56375
tumblr_ng21x5Ycbl1reubyfo1_1280	What does the woman on left do 2 times ?	wag tail	pull dress	whisper	pat someone's back	turn head	3	ACTION13418	56379
tumblr_nb15cwGplj1tv40swo1_400	What does the woman on center do 2 times ?	shrug shoulders	curl finger	sway body	fling hair	pivot foot	0	ACTION13419	56381
tumblr_nrdqwaTjai1tdpxx5o1_400	What does the man do 2 times ?	swing body	shake finger	step	roll sleeves	point finger	3	ACTION13420	56387
tumblr_nhg67dv2uD1tgetb4o1_400	What does the man on right do 4 times ?	bounce	shake hips	jump	clap	touch a man's face	1	ACTION13421	56393
tumblr_nfg62p3APO1tdmffyo1_400	What do the boy with a black pants do 4 times ?	jump skateboard	step	bob head	roll arms	flip hair	1	ACTION13422	56394
tumblr_niv358uYAh1u9vehoo1_400	What does the man do 3 times ?	peekaboo	look down	open eyes wide	slide string	step	2	ACTION13423	56398
tumblr_nrkkvdMkK41tvg3eoo1_400	What does the woman do 2 times ?	bring a cigarette to mouth	comb hair	raise arns	point finger	move feet	0	ACTION13424	56403
tumblr_na7lpruczK1soxo1wo1_400	What does the man do 10 or more than 10 times ?	strum guitar	nod head	move feet	waggle fingers	point finger	0	ACTION13425	56417
tumblr_nqpmjhCnr21uzyc9mo1_1280	What does the man do 2 times ?	pull beard	bounce bed	wave hand with cigarette	shake shoulders	spin	4	ACTION13426	56429
tumblr_nd98hnJpzj1rk1il9o1_400	What does the person do 3 times ?	move paws	hop while on chair	swing body	dance	shake pelvis	1	ACTION13427	56432
tumblr_nk0ohkHjBg1uonjrho1_400	What does the girl do 3 times ?	twist bottle cap	shake hand	bounce	take steps	flip in air	4	ACTION13428	56433
tumblr_na99nerjf31s3att3o1_400	What does the person do 4 times ?	cut something green	rud paw	gyrate hips	touch a man's face	spray fire	4	ACTION13429	56437
tumblr_nqf96s8w4W1uz6c3no1_400	What does the man do 2 times ?	touch ground with foot	shake shoulder	kiss woman	jerk arm	blink	2	ACTION13430	56439
tumblr_n88o3tRSlU1smtg6no1_400	What does the girl do 2 times ?	blow	bob head	bounce forward in seat	kiss another person's cheek	turn head	0	ACTION13431	56442
tumblr_np1hjbipIB1uwc2xxo1_1280	What does the bird do 3 times ?	prance	step	turn head	throw money	peek	2	ACTION13432	56443
tumblr_nk9m1gk3y51uonjrho1_400	What does the girl do 4 times ?	shake finger	swing elbow	roll body	swat box	swerve	2	ACTION13433	56448
tumblr_nf5tcpOqVx1s7b4v4o1_400	What does the blond woman do 2 times ?	lick	shake elbows	kiss other woman	jerk arm	breathe	2	ACTION13434	56454
tumblr_n2zelskLei1qc7kxbo1_400	What does the person do 6 times ?	shrug shoulder	nod head	turn head	strum the guitar	flail arms	3	ACTION13435	56457
tumblr_no136l7jnV1tyncywo1_400	What does the cat do 8 times ?	turn head	paw the air	nod head	step	pull tie	1	ACTION13436	56464
tumblr_nfvd8odLEF1tqgjq4o1_400	What does the person on the right do 5 times ?	swing hips	move chins	wave their arm	flip	slap hip	2	ACTION13437	56466
tumblr_naxq0bKg5F1tvp5nto1_400	What does the shark do 3 times ?	twist bottle cap	shake shoulders	lick girl's face	bite	flap arms	3	ACTION13438	56467
tumblr_nqsapzskxk1rkpmh5o1_400	What does the man do 2 times ?	step	sway body	bob head	roll arms	strum guitar	0	ACTION13439	56469
tumblr_ne83959L061tqgjq4o1_400	What do the person dressed as mouse do 4 times ?	strum guitar	dangle	step	pull fur	move head	4	ACTION13440	56474
tumblr_naxpzlmRZc1tvp5nto1_400	What does the animal do 4 times ?	arrange hair	bounce	shrug shoulders	beat drums	kick tail	4	ACTION13441	56475
tumblr_naw74g2LYa1sm7eoto1_400	What does the horse do 6 times ?	take steps	trot	sway body	turn head	nod head	1	ACTION13442	56476
tumblr_nqky1iFzud1uzxssio1_400	What do the man with cat ears do 2 times ?	wiggle toe	swing weapon	wave arms	tilt head	bounce	2	ACTION13443	56492
tumblr_mv5hh449W11s4j5yoo1_400	What do the cats do 3 times ?	roll balls	swing shoulders	nip raccoon on right	point finger	jump	0	ACTION13444	56494
tumblr_nddbgvSQ221slj978o1_400	What does the woman do 5 times ?	step backwards	hoist ladder	roll over boot	flip	block	0	ACTION13445	56496
tumblr_nqg4fp4oOc1tkyyb3o1_400	What does the woman do 2 times ?	lunge	nod head	turn head	thrust pelvis	strut legs	0	ACTION13446	56497
tumblr_lviv6bsCZj1r7x30bo1_400	What does the man do 4 times ?	flip	boop mother panda's nose	bounce	swing body	wave hand	4	ACTION13447	56498
tumblr_nhsjfacWv11tqwtb6o1_400	What does the man do 2 times ?	kiss	nod head	shake fingers	shimmy body	move hands	1	ACTION13448	56499
tumblr_nhkitcxKBv1s6wlblo1_400	What does the beach goer do 2 times ?	sway hip	step	switch legs	slide fingers across face	pull cheeks	2	ACTION13449	56502
tumblr_nh25n0QpYY1slj978o1_400	What does the hen do 2 times ?	tilt head	move arm	strum guitar	nod head	peck ground	4	ACTION13450	56503
tumblr_npsf8ot1vh1ssgyoro1_400	What does the cat do 3 times ?	tumble	shake body	turn head	scratch owl's face	lick potatoes	4	ACTION13451	56507
tumblr_nhosvqd4kv1trtwh4o1_400	What does the model do 6 times ?	jump	bounce	step	pat back	move legs	4	ACTION13452	56511
tumblr_nas3uxnSI31slmgm0o1_500	What does the man do 3 times ?	move paws	step	pump arms	lift a device	spin	2	ACTION13453	56521
tumblr_nf73fylbOQ1u2dzxko1_500	What does the car do 2 times ?	sway hips	step	pull beard	paw face	drive in a circle	4	ACTION13454	56524
tumblr_nbzpu8uOtq1r008qzo1_500	What does the man do 2 times ?	scratch couch	shake fist	bounce	take steps	flip skateboard while riding it	4	ACTION13455	56525
tumblr_nac3v81FTY1tdjuqvo1_500	What does the baby animal do 2 times ?	step	nod head	point finger	flap arms	scrub ladder	4	ACTION13456	56527
tumblr_nknt8q3t8p1qescp3o1_500	What does the man do 3 times ?	shake leg	jerk body	kiss	breathe deeply	nod head	2	ACTION13457	56533
tumblr_nicde6Rl371u7gw5lo1_500	What does the man do 4 times ?	spin	swing body	flip	wave hand	step	3	ACTION13458	56537
tumblr_nf6ura5U3J1u2dzxko1_500	What does the man do 3 times ?	bark	shake tongue	clap	slap car	bite	3	ACTION13459	56541
tumblr_negastT9sq1u2dzxko1_500	What does the car do 3 times ?	beat drum	bounce	swing shoulders	hit wall	roll eyes	3	ACTION13460	56546
tumblr_nql82ysj6k1t0j31do1_500	What does the man do 4 times ?	jump body	shake	bob head	rub cat's head	clap with hands	1	ACTION13461	56548
tumblr_npti7tHQ4Q1rdimiio1_500	What does the man do 2 times ?	sway hips	throw knife	bounce	jump	flip	1	ACTION13462	56551
tumblr_nbucpozfLx1tiuw3zo1_500	What does the man do 2 times ?	move body	step	bounce	chop onions	bob head	0	ACTION13463	56557
tumblr_no7hrxy62A1uv9g67o1_500	What does the cat do 10 or more than 10 times ?	swing at other cat	hit sink	bob head	bounce	shake knees	0	ACTION13464	56560
tumblr_nh9zzlj2qV1ttzwlxo1_500	What does the woman do 4 times ?	slap a boy	shake hips	stride	hit sink	scratch air	0	ACTION13465	56562
tumblr_nf6kq23Mtb1tfxaz9o1_500	What does the man do 3 times ?	shaking hand	jerk arm	breathe	nod head	kiss a cat	4	ACTION13466	56564
tumblr_nmozjrSkVz1qa6bw8o1_500	What does the man do 4 times ?	sway hips	move arms	bounce	jog	open a door	1	ACTION13467	56571
tumblr_n9s2no5Euu1sqsm9io1_500	What does the man do 2 times ?	chew	shake body	slap leg	chuckle	grind a rail	0	ACTION13468	56577
tumblr_ncsghwlEG71s0r79po1_1280	What does the man do 2 times ?	pull remove shirt	crouch	point	throw clothes	step legs	2	ACTION13469	56578
tumblr_nhvy17uNiE1u7l81wo1_1280	What does the woman do 3 times ?	flip	roll eye	step feet	block	slide string	2	ACTION13470	56584
tumblr_naeyc6yQWy1tahfdeo1_250	What does the dog do 5 times ?	shake hand	lick another animal	turn head	scratch bangs	chew	1	ACTION13471	56593
tumblr_nfj1l8YaSR1tp2qw8o1_400	What does the lady do 10 or more than 10 times ?	shake hips	swing crystal	step	headbutt a mirror	sway hips	1	ACTION13472	56594
tumblr_nb6vwrvJ8U1rpmu0go1_500	What does the man do 5 times ?	hit drums	bounce bottom	move arm	beat drum	roll eye	0	ACTION13473	56596
tumblr_noswx3Bcv51t90itio1_1280	What does the man do 3 times ?	tilt head	slap leg	shake body	swipe phone	chew	4	ACTION13474	56597
tumblr_ndajtpzkCD1r9r0n3o1_400	What does the man do 3 times ?	thrust arms	move head	scoot on floor	sway	nod head	3	ACTION13475	56599
tumblr_nklkbe4KgW1tfs8guo1_500	What does the bold man do 2 times ?	move legs	swing sword	stretch legs	lift middle finger	jump	3	ACTION13476	56600
tumblr_ndt4g6O3LY1s82qa5o1_400	What does the woman do 2 times ?	strum guitar	pull suspenders	waggle fingers	turn head	sneeze	2	ACTION13477	56601
tumblr_nppo42QA6y1u8uquyo1_500	What does the large dolphin do 3 times ?	take steps	move feet	blink eyes	bounce shoulders	flip	4	ACTION13478	56604
tumblr_nr3jyoqPkZ1sqh42jo1_400	What does the man do 3 times ?	punch man in white	sway body	kick	jump wall	turn head	2	ACTION13479	56609
tumblr_nqf700a9xo1sxp6k0o1_400	What does the storm do 3 times ?	burn	lightning	smoke rings	punch bag	hit tray	1	ACTION13480	56610
tumblr_ncdfc4Icvr1r1ga5qo1_400	What does the man do 10 or more than 10 times ?	step	nod head	move feet	turn head	strum guitar	4	ACTION13481	56612
tumblr_nodt1yFXLd1u3cb3fo1_400	What do the girls do 3 times ?	bounce chest	jump	gyrate hips	spin chair	fluff hair	1	ACTION13482	56613
tumblr_njqtrn0yfa1tcflvro1_400	What does the woman do 5 times ?	stretch a glove	swim	walk	bob head	jump	0	ACTION13483	56614
tumblr_no3x882i1f1u9ac4mo1_500	What does the woman do 5 times ?	step dance	throw arm out	moonwalk legs	turn	touch the floor with a hand	3	ACTION13484	56616
tumblr_nrbxfe9Zyq1sfrcbjo1_500	What does the man on right do 2 times ?	inchwormed	step	tussle hair	turn head	make a peace sign	4	ACTION13485	56618
tumblr_nb74kyQN161sqagslo1_500	What does the cat do 4 times ?	clap	jump	shake head	rub man's jacket	touch a ball	2	ACTION13486	56621
tumblr_no6s0oUAs11rv16tro1_500	What does the bike do 2 times ?	land wheels	open a man's shirt	strum guitar	high five	fire to a person	0	ACTION13487	56622
tumblr_nppnqmBZGn1r0wgkuo1_400	What does the woman do 4 times ?	swim the breaststroke	twirl fists	turn head	move shoulder	lap	0	ACTION13488	56623
tumblr_npd7gziWrO1s4jcl3o1_500	What does the doctor do 2 times ?	paw window	cut filming	clean the patient's arm with a tissue	towel face	paint brush	2	ACTION13489	56628
tumblr_nkrvibt2jX1twzhu5o1_500	What does the boy do 3 times ?	step	nuzzle man	bounce	move legs	open right hand	3	ACTION13490	56630
tumblr_nk6niaeNS91uo3kgvo1_400	What does the woman do 4 times ?	step	throw money	turn head	touch a ball	flick tongue	2	ACTION13491	56631
tumblr_nh78r4aA431taktvqo1_400	What does the man do 3 times ?	swing hands	bob head	hit another cat	jump	shake butt	0	ACTION13492	56633
tumblr_nd01x643Zs1svecmko1_500	What does the dog do 3 times ?	clap	jump	shake head	pull rope	touch a ball	2	ACTION13493	56634
tumblr_nfg9btxKYw1u41f5eo1_400	What does the man on left do 3 times ?	shift head to other direction	bob head	gyrate hips	sway body	pull tie	0	ACTION13494	56637
tumblr_nqpzi55OCm1r9nerio1_500	What does the woman do 2 times ?	spin chair	pat other man's shoulder	jump	worm	hit the drum	2	ACTION13495	56645
tumblr_nowrw8JIhk1tgyb5fo1_400	What does the man do 2 times ?	turn a camera	tumble	move paws	step	throw dart	0	ACTION13496	56646
tumblr_ngmniwjZIc1sqlieso1_400	What does the man do 2 times ?	somersault counterwise	nod head	wiggle fingers	step	look into window	0	ACTION13497	56649
tumblr_norxkuy6if1uvjyqoo1_400	What does the man do 5 times ?	nod head	kiss	touch a ball	shake fingers	twist	0	ACTION13498	56654
tumblr_nkxuatiNCU1up24pzo1_500	What does the man do 3 times ?	turn head	pump arm up	step	strum guitar	lift other animal	1	ACTION13499	56664
tumblr_np4nnnx0s11uuseq5o1_400	What does the woman do 5 times ?	spin around	point finger	bounce hips	shake fingers	kick the ball	2	ACTION13500	56665
tumblr_nabxj6TtDy1r67t5oo1_400	What does the man wearing a black tee-shirt do 10 or more than 10 times ?	blink	jump	clap	touch woman's neck	shake hands	4	ACTION13501	56669
tumblr_nrgz3phrta1skr0qoo1_400	What does the man on left do 2 times ?	wiggle hips	shake hand	jump	move legs	clap	1	ACTION13502	56670
tumblr_nksyqeILJL1uophbwo1_400	What does the man on left do 5 times ?	jump around floor	bounce legs on floor	swing sword	hop	flip hair	3	ACTION13503	56671
tumblr_np17sfD25x1u9eao7o1_500	What does the man do 2 times ?	bite	laugh	rub a cat by face	cock gun	lick	3	ACTION13504	56676
tumblr_npp1l23URN1tkx9vro1_400	What does the woman do 2 times ?	step	wave arms	swing weapon	flip	spin	1	ACTION13505	56679
tumblr_nqqnyeMlc31u5ynixo1_400	What does the man do 2 times ?	tremble hand holding a knife	sniff man's hair	shake hand	jump	clap	2	ACTION13506	56680
tumblr_n9h43oioWM1qjvux9o1_400	What does the man do 2 times ?	slap leg	swing legs	flip body	wave	spread frosting	3	ACTION13507	56682
tumblr_npikg7LtEy1rjb18uo1_400	What does the man do 5 times ?	nod head	turn head	flap arms	sway head	strum guitar	4	ACTION13508	56683
tumblr_nc0uhz1PTQ1rk664eo1_500	What does the muscle man do 2 times ?	lower eyes	nibble strawberry	thrust hip	strum guitar	raise legs	4	ACTION13509	56688
tumblr_npjk8rLz4Q1r8hmmlo1_400	What does the woman do 3 times ?	take steps	touch hair	wag tail	paw string	roll on ground	1	ACTION13510	56696
tumblr_ne4h59rtD91s5kfneo1_400	What does the man do 2 times ?	spin chair	strum guitar	step floor	hit the drum	jump	4	ACTION13511	56701
tumblr_ncxtwzIzk11ra37cio1_400	What does the man wearing a blue shirt do 3 times ?	struggles against to other men	take steps	look down	sway hip	turn head	0	ACTION13512	56703
tumblr_nowxhfreoz1uwapufo1_400	What does the man in the very right side do 2 times ?	dab face	rub woman's face	slap leg	chew	shake body	3	ACTION13513	56705
tumblr_njvup2dOZY1unlpmyo1_400	What does the man do 2 times ?	throw money	curl fingers	bob head	take steps	turn head	4	ACTION13514	56709
tumblr_nknelbbIxz1tbn45wo2_400	What does the left guy do 4 times ?	bounce	shrug shoulder	turn head	hit the other with pillow	jump	3	ACTION13515	56710
tumblr_ng096pK92H1tg2a9uo1_400	What does the man do 10 or more than 10 times ?	move head	strum guitar	swing arms	pull remove shirt	jump	2	ACTION13516	56716
tumblr_nop2x03b881uwnheho1_500	What does the rock band do 3 times ?	swipe phone	move arms	moonwalks	nod head	stomp	4	ACTION13517	56718
tumblr_noe4dzC2HZ1tysr3wo1_400	What does the man do 4 times ?	bend body	rub boys back	poke tongue	punch boxer on right	shake shoulders	2	ACTION13518	56723
tumblr_mfsyp4SJ1Y1rt6590o1_500	What does the man on the right side do 3 times ?	bounce	turn head	throw objects	shake hand	bob head	0	ACTION13519	56728
tumblr_ndzgpax3KR1qzafxio1_500	What does the man do 8 times ?	compress infant's skin	direct arm	flail arms	turn head	step	1	ACTION13520	56732
tumblr_npqbdzNtaQ1sbra9ro1_540	What does the man do 2 times ?	jump	scoot	move feet	shake head	rub man's jacket	3	ACTION13521	56733
tumblr_nh2amamnYr1sdffexo1_500	What does the girl in front do 8 times ?	lick	clap hands	put glass on mouth	kiss	breathe	1	ACTION13522	56734
tumblr_npv23fdClT1uwadjto1_400	What does the man do 8 times ?	backflip	nod head	pat other man's shoulder	step legs	swivel hips	0	ACTION13523	56736
tumblr_nobxfh7u931r5ulvso1_400	What does the car do 2 times ?	step	drive by	sway head	tumble	transfer weed	1	ACTION13524	56738
tumblr_nr64jhERsI1up67tto1_500	What does the woman do 2 times ?	take steps	bite	shake butt	bob head	smile mouth	4	ACTION13525	56747
tumblr_noxaerl3em1s4eg66o1_500	What does the woman do 2 times ?	shake hair	hug other man	shaking hand	kiss a dog	blink	2	ACTION13526	56752
tumblr_nbps26AC1F1s4kd52o1_500	What does the man do 6 times ?	move hands	beat drums	roll eyes	attack a person	hit drum	4	ACTION13527	56753
tumblr_npnrzyCMUM1us3ug0o1_400	What does the man and woman do 5 times ?	clap	spin	jump	swat toilet paper	shake hand	4	ACTION13528	56755
tumblr_noe1i0HtFl1sb4k9no1_400	What does the kid do 3 times ?	roll chest	wag tail	beat drum	hit coins	attack a person	3	ACTION13529	56765
tumblr_npop1vXiZI1uxzrhgo1_400	What does the man do 10 or more than 10 times ?	slide down stairs	strum guitar	thrust hips	sway body	open mouth	4	ACTION13530	56767
tumblr_nkpyvkKEyJ1u8vn4no1_500	What does the girl do 2 times ?	bend fingers	tap face	jump	adjust tiara	comb hair	1	ACTION13531	56768
tumblr_nir1e4SbmR1u1gqyzo1_500	What does the man do 10 or more than 10 times ?	bob head	thrust pelvis	wobble	turn head	strum guitar	4	ACTION13532	56770
tumblr_nfgb3oqJ4l1tb642eo1_400	What does the man do 5 times ?	touch a ball	jump	clap	shake head	blink	3	ACTION13533	56774
tumblr_nf3pbpzPwv1soz0p7o1_400	What does the person do 2 times ?	shake hair	tilt head	touch eyebrow	stand on board	throw sparks	3	ACTION13534	56776
tumblr_ngwo49KIe21rt49g9o1_400	What does the woman do 2 times ?	slap hand	strum guitar	sway body	wave hand with cigarette	spin	4	ACTION13535	56782
tumblr_nny6ezmNUD1te0qzbo1_400	What does the person on right do 2 times ?	turn head	hit obstacle	punch	slap someone's cheek	rub top	3	ACTION13536	56785
tumblr_npx8h4vnAr1uxxc19o1_400	What does the man do 6 times ?	wave	shake body	spin fork	slap leg	slide on floor	2	ACTION13537	56786
tumblr_nnzryeuZza1r36qato1_500	What does the man do 4 times ?	nod head	move hands	wobble head	pull fur	step	2	ACTION13538	56790
tumblr_nk4zmjJRrW1s5psz8o1_400	What does the man do 2 times ?	shake finger	jump	clap	move legs	bounce	0	ACTION13539	56801
tumblr_nor4t9DHFT1u8ypt9o1_400	What does the robot do 6 times ?	step	swing arm	jump	flap wings	shake butt	1	ACTION13540	56802
tumblr_ngnafaofKH1t4vk7to1_400	What does the woman do 4 times ?	slap hands	swing body	flip backward	spin on leg	wave fan	4	ACTION13541	56803
tumblr_nfxl7m1kah1s9f4vbo1_400	What does the man do 3 times ?	pull beard	strum guitar	step floor	jump	take steps	3	ACTION13542	56813
tumblr_npjq0p6UtA1tl46kso1_500	What does the man do 4 times ?	pull suspenders	wave candy	move paws	rock back and forth	spin hoops	3	ACTION13543	56814
tumblr_ne7590JnKw1tthkw3o1_400	What does the woman with a white dress do 8 times ?	bounce	twirl finger	shake body	jump	clap	2	ACTION13544	56820
tumblr_nqqnug1EHD1uzhc9bo1_400	What does the woman do 2 times ?	shake head	flinch	peddle tires	jump	tease hair	0	ACTION13545	56824
tumblr_nfp7t0V3V21rqpwbso1_400	What does the bird do 4 times ?	wiggle fingers	filp a paper	wag tail	bob head	skate across room	3	ACTION13546	56829
tumblr_nefyoqrKJw1tbjfazo1_500	What does the fish do 2 times ?	nod head	flap fins	wiggle fingers	undulate chest	step	1	ACTION13547	56830
tumblr_naxwy3snPK1tfrmy4o1_500	What does the woman do 4 times ?	turn head	bob head	take steps while stretching arms	pat bed	step	2	ACTION13548	56834
tumblr_necb5mvpQY1r9futyo1_400	What does the guy do 2 times ?	shake butt	swing arms	roll on ground	bounce	dance	1	ACTION13549	56835
tumblr_nqzams2tV51ux9pwko1_400	What does the man do 4 times ?	shake hips	get hit from the upper side	sway hips	point finger	sit-ups	4	ACTION13550	56839
tumblr_nortksx4RU1rszxjjo1_500	What does the man do 2 times ?	wave cigarette	scoop coffee	jump backward	spin on wave	strum guitar	3	ACTION13551	56841
tumblr_n98nl5EZzy1s8b0juo1_400	What does the man do 6 times ?	step	bob head	roll arms	flip hair	block man on right	0	ACTION13552	56848
tumblr_no6tduNvlo1tcrchno1_400	What does the insect do 7 times ?	pat face	wriggle	nod head	bob head	move head	1	ACTION13553	56853
tumblr_nbqt6jNkvp1s71nvbo1_400	What does the man who wear a sun glass do 5 times ?	jump skateboard	nod head	blink	wiggle leg	flip skateboard	2	ACTION13554	56854
tumblr_npftddzh341un9stto1_400	What does the man who wear a white shirt do 2 times ?	hit the drum	spin chair	jump	kick a soccer ball	look side to side	2	ACTION13555	56855
tumblr_nk3g488z0U1s6dha8o1_400	What does the man do 3 times ?	roll on ground	touch cheek	flip	take steps	move legs	1	ACTION13556	56862
tumblr_nq77gbS0qY1sqh42jo1_400	What does the man do 3 times ?	step	hit another cat	swing head	jump	shake fingers	2	ACTION13557	56869
tumblr_nogmcg2UKc1tlq8yzo1_400	What does the person do 2 times ?	bounce	shake butt	flip bodty in the air	take steps	scratch pet	2	ACTION13558	56872
tumblr_nhm2weHbn41taa9zto1_400	What does the girl do 3 times ?	step up stairs	shake shoulders	bounce shoulders	take steps	flip	4	ACTION13559	56876
tumblr_n9fqu1Da1x1ssvt90o1_400	What does the woman do 2 times ?	turn head	thrust pelvis	open jacket	twirl fists	sweep hair	2	ACTION13560	56877
tumblr_n8tmozj3St1t0j6u5o1_400	What does the man in leather jacket do 4 times ?	high five	throw clothes	move legs	point finger	step	3	ACTION13561	56883
tumblr_nqyed3Aeob1urf1roo1_400	What does the man on left do 7 times ?	wave arms back and forth	rock	move arms	spin arms	jump feet	1	ACTION13562	56885
tumblr_nbg8tbDtFf1svcbv3o1_500	What does the man on front do 5 times ?	zigzag	nod head	move arms	step legs	slap hands	0	ACTION13563	56886
tumblr_nqoc5xlM4i1u7ss18o1_400	What does the woman do 10 or more than 10 times ?	jump	move hands	hit the drum	bounce body	point finger	3	ACTION13564	56888
tumblr_nkjn4gvQKa1tkphmwo1_400	What does the person do 2 times ?	jump	run or hand through hair	turn head	look down	move feet	1	ACTION13565	56905
tumblr_nnxquj2Ncc1uqy8cyo1_500	What does the man do 10 or more than 10 times ?	nod head	bob head	strum guitar	step	slap hand	2	ACTION13566	56913
tumblr_na42fcK65s1sl6kwco1_500	What does the man do 4 times ?	wink	flap arms	beat drums	bounce	hit drum	4	ACTION13567	56914
tumblr_nckzgfKjjW1s3att3o1_400	What does the man do 3 times ?	bang their heads	shake body	point finger	kick	slam keyboard	4	ACTION13568	56920
tumblr_nhf3klSj6F1trtn9oo1_500	What does the person on right bottom do 6 times ?	put hand in front of mouth	shake butt	clap hands	wag tail	breathe	2	ACTION13569	56922
tumblr_n8pkh96K2B1th41ydo1_400	What does the man do 2 times ?	step	jump	raise hand	move legs	balance right to left	2	ACTION13570	56932
